male,age,education,unemployed,ideology,left2012,left2016,eco_issue,imm_issue,iv_immigration,iv_economy,right2012,right2016
0,37,3,0,8,NA,NA,0,0,0.5,0.5,NA,NA
1,31,8,0,6,NA,NA,0,0,0.75,0.5,NA,NA
0,43,10,0,5,1,NA,0,0,0.5,1,0,NA
1,54,9,0,7,0,0,0,1,1,1,1,1
0,37,13,0,1,1,1,1,0,0.25,0.5,0,0
1,67,13,0,3,1,1,0,0,0.5,0.5,0,0
1,50,14,0,6,0,0,0,0,0.5,0.5,1,1
1,64,13,1,6,1,NA,0,0,0.5,1,0,NA
1,37,14,0,3,1,1,0,0,0.5,0.5,0,0
0,50,14,0,5,1,NA,0,0,0.5,0.5,0,NA
1,74,13,0,0,1,1,1,0,0,0.5,0,0
1,53,13,0,8,0,NA,0,0,0.75,0.5,1,NA
1,66,13,0,5,0,0,0,0,1,1,1,1
1,47,9,0,5,NA,0,0,0,1,0.5,NA,1
1,37,13,0,5,NA,NA,1,0,0,0,NA,NA
1,38,9,0,9,0,0,0,0,0.5,0.5,1,1
1,30,8,0,8,NA,NA,0,0,0,0.5,NA,NA
0,28,10,1,6,1,NA,0,0,1,1,0,NA
1,31,10,0,6,NA,0,1,0,0,0,NA,1
1,71,9,0,5,NA,NA,0,0,1,1,NA,NA
0,30,11,0,6,NA,NA,0,0,1,1,NA,NA
0,57,9,0,2,1,NA,0,0,0.5,1,0,NA
1,30,11,0,4,1,1,0,0,0.5,1,0,0
0,46,13,0,8,0,0,0,0,0.5,0.5,1,1
0,68,14,0,8,0,NA,0,1,1,1,1,NA
1,57,12,0,8,NA,0,0,1,1,0.5,NA,1
0,67,9,0,6,1,1,0,0,0.5,1,0,0
0,18,9,0,7,NA,NA,0,0,0.25,1,NA,NA
1,67,14,0,4,1,1,1,0,0.5,0.5,0,0
1,40,10,0,10,1,1,0,0,0.5,1,0,0
1,37,10,1,9,1,NA,0,0,0.5,1,0,NA
1,77,16,0,5,1,1,0,0,0.5,NA,0,0
0,56,13,0,NA,1,1,0,0,0.5,1,0,0
0,NA,10,0,5,0,0,1,0,1,1,1,1
0,47,12,1,7,0,0,1,0,1,1,1,1
0,75,9,0,NA,1,1,0,0,0.5,0.5,0,0
1,71,14,0,2,1,1,0,0,0,1,0,0
0,67,13,0,7,1,1,0,0,0.5,0.5,0,0
1,26,9,0,5,NA,0,0,0,0.5,0.5,NA,1
0,25,13,0,5,1,NA,0,0,0.25,0.5,0,NA
0,31,15,0,6,0,NA,1,0,0.5,1,1,NA
0,27,10,0,0,1,1,1,0,0.25,1,0,0
0,38,10,0,10,1,1,0,0,0.25,1,0,0
0,39,13,0,0,1,1,0,0,0,1,0,0
0,74,10,0,7,0,0,0,0,0.75,0,1,1
0,63,10,0,8,1,1,1,0,0.5,1,0,0
0,18,8,0,NA,NA,0,0,0,0.75,0.5,NA,1
1,65,11,0,4,1,0,0,0,0.5,0.5,0,1
1,85,14,0,7,0,NA,0,0,1,0.5,1,NA
0,53,12,0,5,NA,NA,0,0,1,1,NA,NA
1,66,10,0,9,0,0,1,0,0.5,1,1,1
0,89,3,0,10,1,1,1,0,0.5,1,0,0
0,55,14,0,9,0,0,0,0,0.75,1,1,1
0,47,14,0,3,1,1,1,0,0.5,1,0,0
1,66,9,0,8,NA,NA,0,0,0.5,1,NA,NA
1,66,8,0,4,1,0,1,0,1,1,0,1
0,51,10,0,5,NA,0,0,0,1,1,NA,1
0,37,11,1,6,0,0,1,0,0.75,1,1,1
0,83,14,0,6,0,0,0,0,1,0.5,1,1
1,23,9,0,6,NA,NA,0,1,0.5,1,NA,NA
0,22,11,0,10,0,0,0,1,1,1,1,1
0,42,12,0,8,0,0,0,0,0.5,1,1,1
0,27,14,0,6,1,1,0,0,0.5,1,0,0
0,79,10,0,2,1,1,1,0,0.5,1,0,0
0,30,14,0,0,1,1,0,0,0.25,1,0,0
1,55,9,0,8,NA,NA,1,0,1,1,NA,NA
0,22,9,0,0,1,1,0,0,0.5,0.5,0,0
0,66,NA,0,10,1,1,0,0,0.5,1,0,0
1,46,9,0,6,1,0,0,0,0.5,0.5,0,1
1,36,9,0,5,NA,NA,0,1,1,1,NA,NA
1,29,10,0,2,1,NA,0,0,0.5,1,0,NA
1,35,14,0,6,1,0,0,0,0.5,1,0,1
0,23,10,0,3,NA,1,0,0,0.25,1,NA,0
0,26,9,0,8,0,0,0,0,0.75,0.5,1,1
0,51,14,0,5,1,1,0,0,0.5,1,0,0
1,75,9,0,7,0,0,1,0,0.75,0.5,1,1
0,56,13,0,6,0,0,0,0,0.5,0.5,1,1
0,67,10,0,3,1,1,0,0,0,1,0,0
0,37,6,0,5,NA,NA,0,0,0.75,0.5,NA,NA
1,49,9,0,7,0,0,0,1,1,0.5,1,1
