male,age,education,unemployed,ideology,left01,left02,right01,right02,eco_issue,imm_issue,iv_immigration,iv_economy
0,49,5,0,7,0,0,1,1,0,0,0.5,0
1,56,6,0,3,1,1,0,0,0,0,0.25,0.6666666666666666
1,78,3,0,11,0,0,1,1,0,0,0.5,0.6666666666666666
1,34,6,0,8,0,0,1,1,0,0,1,0.3333333333333333
0,57,4,0,5,0,0,1,1,0,0,0.5,0.16666666666666666
0,66,3,0,NA,0,0,1,1,0,0,0.75,0.5
1,37,5,0,11,0,1,1,0,1,0,0.75,0.8333333333333334
1,52,5,0,9,0,0,1,1,0,0,1,0.6666666666666666
1,58,5,0,8,0,0,1,1,0,0,1,0.6666666666666666
0,56,5,0,4,1,1,0,0,0,0,0.5,0.6666666666666666
1,73,6,0,9,0,0,1,1,0,0,1,0.3333333333333333
0,52,3,0,6,1,1,0,0,0,0,0.75,0.5
1,67,6,0,3,1,1,0,0,0,0,1,0.6666666666666666
1,39,4,0,9,0,0,1,1,0,0,1,0.5
1,68,4,0,5,1,1,0,0,0,0,0.5,0.6666666666666666
1,52,4,0,1,1,1,0,0,0,0,1,1
1,50,5,0,9,0,0,1,1,0,0,0.75,0.16666666666666666
1,50,6,0,4,1,1,0,0,1,0,0.5,0.5
1,59,4,0,3,1,1,0,0,0,0,1,0.5
1,58,3,0,3,1,1,0,0,0,0,0.75,0.3333333333333333
1,57,4,0,8,0,0,1,1,0,0,1,0.3333333333333333
1,71,6,0,7,0,0,1,1,0,0,0.75,0.5
1,49,4,0,6,0,1,1,0,0,0,1,0.16666666666666666
1,25,6,0,7,0,0,1,1,0,0,1,0.6666666666666666
1,60,4,0,6,0,0,1,1,0,1,0.75,0.6666666666666666
1,67,3,0,7,1,1,0,0,0,0,1,0.8333333333333334
1,47,3,0,6,1,1,0,0,0,0,1,0.3333333333333333
1,59,4,0,1,1,1,0,0,0,0,0.25,0.5
1,26,6,0,6,0,0,1,1,0,0,0.25,0.5
0,60,4,0,7,0,0,1,1,0,0,1,0.5
1,39,4,0,7,0,0,1,1,0,0,1,0.8333333333333334
0,83,4,0,5,1,1,0,0,0,0,0.25,0.8333333333333334
1,62,3,1,2,1,1,0,0,0,0,0.5,0.8333333333333334
0,71,6,0,5,0,0,1,1,0,0,0.75,0.5
1,78,3,0,6,0,1,1,0,0,0,1,0.6666666666666666
0,66,6,0,4,1,1,0,0,0,0,1,0.3333333333333333
1,72,4,0,3,1,1,0,0,0,0,1,0.6666666666666666
1,68,4,0,7,0,1,1,0,0,0,1,0.3333333333333333
1,70,4,0,6,1,1,0,0,0,1,1,1
0,23,6,0,5,1,1,0,0,0,0,0.25,0.6666666666666666
1,55,2,0,6,0,1,1,0,0,0,1,0.5
1,41,5,0,6,0,0,1,1,0,0,0.75,0.3333333333333333
0,30,6,0,8,0,0,1,1,0,0,1,0.5
0,69,3,0,6,0,0,1,1,0,0,1,0.6666666666666666
0,37,6,0,5,1,1,0,0,0,0,0.75,0.6666666666666666
1,77,6,0,8,0,0,1,1,0,0,1,0.16666666666666666
0,67,3,0,NA,1,1,0,0,0,0,0.5,0.5
0,55,4,0,6,0,0,1,1,0,0,1,0.5
0,63,3,1,6,0,0,1,1,0,0,1,1
1,73,3,0,3,1,1,0,0,0,0,1,0.8333333333333334
1,64,3,0,8,0,0,1,1,0,0,1,0.16666666666666666
1,58,3,0,6,0,0,1,1,0,0,0.75,0.3333333333333333
0,56,3,1,6,0,0,1,1,0,1,1,0
1,51,4,0,6,0,0,1,1,0,0,1,0.3333333333333333
0,45,6,0,5,1,1,0,0,0,0,0.5,0.8333333333333334
1,62,4,0,9,0,0,1,1,0,0,1,0.5
1,37,4,0,3,1,1,0,0,0,0,0.5,0.6666666666666666
1,61,5,0,5,1,1,0,0,0,0,1,0.5
1,61,4,0,3,1,0,0,1,0,0,1,1
1,68,3,0,9,0,0,1,1,0,1,1,0.6666666666666666
0,53,4,0,3,1,1,0,0,0,0,0.75,0.5
1,67,3,0,6,1,1,0,0,0,0,0.75,1
0,64,3,0,7,1,1,0,0,0,0,0.75,0.16666666666666666
